"Submission ID","Respondent ID","Submitted at","Age Range","Department / Function","AI Tools You’ve Used or Are Familiar With","Frequency of AI Tool Use","Organizational AI Usage","How Comfortable are you with learning and using new digital tools (including AI) in your role today?","Concerns About AI in Workplace","60-Day AI Priorities (Leadership/Personal Goals)","Name no more than three problems you believe AI can meaningfully solve in your work, organization, or industry
"
"gDpE67d","Y5RbdNz","2025-11-06 20:35:04","55-64","Executive Leadership (C-Suite, VP)","ChatGPT, Claude (Anthropic), Microsoft Copilot, Perplexity AI, Google Gemini, NotebookLM, Midjourney / DALL·E / Adobe Firefly","Daily","Individual staff experimenting informally","10","I’m not concerned","Staff training: create materials & capture best practices, Understanding of AI ethics / Data security and best practices","Data access and analytics (improve decision-making with better information), operational efficiency in freight forwarding and warehousing, and operational efficiency for general administrative tasks (including positive financial impact to SG&A)."
"rjpeeDN","WOr6YBR","2025-11-06 20:51:51","45–54","Operations (Logistics, Transportation, Warehousing)","ChatGPT, Microsoft Copilot","Daily","Individual staff experimenting informally","5","I don’t know where to start, Reliability or accuracy of AI responses, It might replace jobs","Data dashboards & business intelligence insights","Streamline communication, organize meaningful data, Maintain accountability "
"44qMZpo","GxKVJ7o","2025-11-06 21:01:01","35–44","Executive Leadership (C-Suite, VP)","Microsoft Copilot","Daily","Individual staff experimenting informally","3","I don’t know where to start, Client data privacy and security, Reliability or accuracy of AI responses","Save time on admin / reporting & compliance documentation, Customer service automation and communication enhancement, Data dashboards & business intelligence insights","(1) Administrative items
(2) RFPs
(3) Analytics to be predictive versus reactive"
"WOgLyMN","eqDGxQO","2025-11-06 21:06:42","45–54","Operations (Logistics, Transportation, Warehousing)","Microsoft Copilot, Google Gemini","Occasionally (1-2 times per month)","Individual staff experimenting informally","8","Client data privacy and security, I’m not concerned, Reliability or accuracy of AI responses","Save time on admin / reporting & compliance documentation, Operational efficiency improvements (logistics / warehousing / transportation), Data dashboards & business intelligence insights","Repetitive Administrative or Data entry task, Training material development "
"RGgAEJ4","pbdNPqV","2025-11-06 21:13:15","Prefer not to say","Executive Leadership (C-Suite, VP)","Microsoft Copilot","Occasionally (1-2 times per month)","No use yet","10","I’m not concerned","Save time on admin / reporting & compliance documentation","Speed process"
"eqpbZWl","eqDG9dO","2025-11-06 21:37:16","45–54","Executive Leadership (C-Suite, VP)","ChatGPT","Weekly","Individual staff experimenting informally","9","Client data privacy and security, Cost or access to tools","Save time on admin / reporting & compliance documentation, Staff training: create materials & capture best practices, Understanding of AI ethics / Data security and best practices","Time management, ease in reporting metrics, generative and predictive insight"
"689qKjB","rjBQv6R","2025-11-06 22:14:23","55-64","Operations (Logistics, Transportation, Warehousing)","ChatGPT, Google Gemini","Weekly","No use yet","8","I’m not concerned","Operational efficiency improvements (logistics / warehousing / transportation), Supply chain optimization and predictive analytics, Data dashboards & business intelligence insights","Operational efficiency
Service quality improvement"
"xXoGYAr","PdDNr7B","2025-11-06 22:33:46","55-64","Executive Leadership (C-Suite, VP)","ChatGPT, Google Gemini, Microsoft Copilot","Occasionally (1-2 times per month)","No use yet","7","I don’t know where to start, Reliability or accuracy of AI responses","Save time on admin / reporting & compliance documentation","Not certain"
"ODgpQok","yPN8LWg","2025-11-07 16:34:05","45–54","Executive Leadership (C-Suite, VP)","ChatGPT, Microsoft Copilot","Occasionally (1-2 times per month)","Individual staff experimenting informally","7","Client data privacy and security, Reliability or accuracy of AI responses, Cost or access to tools","Save time on admin / reporting & compliance documentation, Customer service automation and communication enhancement","Customer Service
Planning
Administrative functions like Wage surveys, RFP reviews, etc."
"KYg7k18","44BV8xB","2025-11-07 18:33:34","35–44","Operations (Logistics, Transportation, Warehousing)","ChatGPT, Microsoft Copilot, Perplexity AI","Weekly","Individual staff experimenting informally","10","I’m not concerned","Save time on admin / reporting & compliance documentation, Operational efficiency improvements (logistics / warehousing / transportation), Data dashboards & business intelligence insights, Staff training: create materials & capture best practices, Understanding of AI ethics / Data security and best practices","Resolve administrative inefficiencies, understand and improve financial reporting/performance, improve customer communication."
"ODgpkN7","pbdpKMq","2025-11-07 18:37:27","55-64","Human Resources / Training & Development","ChatGPT, Microsoft Copilot, Google Gemini","Daily","Individual staff experimenting informally","9","Reliability or accuracy of AI responses, Client data privacy and security","Save time on admin / reporting & compliance documentation","Research efficiently , administration, creating documentation"
"vGp7zxv","44BV2Xr","2025-11-07 18:41:12","65 or older","Operations (Logistics, Transportation, Warehousing)","ChatGPT","Occasionally (1-2 times per month)","Individual staff experimenting informally","9","It might replace jobs, People might misuse it (cheating / shortcuts), Cost or access to tools","Supply chain optimization and predictive analytics","Professionalism, support and time saving to formalize reporting and presentation with internal and external customers and creating advantages to stay ahead in the overall industry in the logistics field. "
"obprgG1","obDLBGO","2025-11-07 18:52:54","35–44","IT / Technology","Microsoft Copilot, ChatGPT, NotebookLM, Google Gemini, Midjourney / DALL·E / Adobe Firefly","Daily","Individual staff experimenting informally","10","Reliability or accuracy of AI responses, Cost or access to tools, Client data privacy and security","Understanding of AI ethics / Data security and best practices","AI can be used to aggregate a list of common or repeated issues in the network, Office 365 environment etc.
This can help with predictive maintenance, predict resource usage trends and assist IT to scale the infrastructure efficiently. 

AI in cyber security can be setup to automate a real time threat response by isolating and or blocking malicious content.

"
"44qWDBk","RGdyRQp","2025-11-07 19:18:34","65 or older","Executive Leadership (C-Suite, VP)","ChatGPT, Microsoft Copilot","Weekly","Several pilots across units","10","I’m not concerned","Save time on admin / reporting & compliance documentation","1. Contract administration
2. Benchmarking efficiency of major business cost drivers
3. Automating reports of meaningful performance indicators
"
"LZgAjbp","pbdp7y1","2025-11-07 19:33:04","55-64","Executive Leadership (C-Suite, VP)","ChatGPT","Weekly","Individual staff experimenting informally","10","I’m not concerned, Reliability or accuracy of AI responses","Contract proposals and RFP response development","1. Proposal Development, organization, messaging, storytelling
2. Sales Dashboard to identify pipeline values, trends, activity, success/opportunities
3. Account Management content targeting existing accounts, trends, behaviors, data"
"obpr4Wb","rjBMvy2","2025-11-07 20:49:48","55-64","Executive Leadership (C-Suite, VP)","ChatGPT, Microsoft Copilot","Weekly","No use yet","8","Reliability or accuracy of AI responses, Time required to learn new tools, Cost or access to tools","Understanding of AI ethics / Data security and best practices, Operational efficiency improvements (logistics / warehousing / transportation)","Save time(automation) and reduce potential errors. "
"rjWyOPp","QKMlXa8","2025-11-07 21:44:24","35–44","Executive Leadership (C-Suite, VP)","ChatGPT, Microsoft Copilot","Daily","Individual staff experimenting informally","10","It might replace jobs, Reliability or accuracy of AI responses","Staff training: create materials & capture best practices, Save time on admin / reporting & compliance documentation","Time saving, and accuracy of data."
"5B5KEgM","2EBG6Aj","2025-11-07 23:34:48","65 or older","Executive Leadership (C-Suite, VP)","ChatGPT, Perplexity AI, NotebookLM, ElevenLabs","Daily","Individual staff experimenting informally","8","Client data privacy and security, Reliability or accuracy of AI responses, Cost or access to tools","Supply chain optimization and predictive analytics, Data dashboards & business intelligence insights, Contract proposals and RFP response development","Research/Analysis/Drafting proposals"
"QKy2k28","ODlM6XA","2025-11-08 00:04:32","45–54","Operations (Logistics, Transportation, Warehousing)","ChatGPT, Google Gemini, Microsoft Copilot","Daily","Individual staff experimenting informally","10","Client data privacy and security, Reliability or accuracy of AI responses, Cost or access to tools","Save time on admin / reporting & compliance documentation, Operational efficiency improvements (logistics / warehousing / transportation), Customer service automation and communication enhancement, Supply chain optimization and predictive analytics, Data dashboards & business intelligence insights, Contract proposals and RFP response development, Staff training: create materials & capture best practices, Understanding of AI ethics / Data security and best practices","Performing repetitive tasks across multiple applications but somehow linked to each other, performing complex cost calculations, processing and coordinating shipments and import/export customs related tasks."
"dWVNqro","obDq6ex","2025-11-08 20:14:52","55-64","Operations (Logistics, Transportation, Warehousing)","ChatGPT, Google Gemini, Microsoft Copilot","Rarely (once or twice ever)","No use yet","8","Reliability or accuracy of AI responses, I don’t know where to start","Operational efficiency improvements (logistics / warehousing / transportation), Data dashboards & business intelligence insights","More accurate forecasting/trends....predictive analytics"
"MeyAzvp","xXjeB09","2025-11-10 15:01:42","55-64","IT / Technology","Microsoft Copilot, ChatGPT","Occasionally (1-2 times per month)","Individual staff experimenting informally","8","Client data privacy and security","Data dashboards & business intelligence insights, Save time on admin / reporting & compliance documentation, Understanding of AI ethics / Data security and best practices","Repetitive Supply Chain tasks, such as Shipment Tracking and Reporting, Automated Verbal responses to customer related stock/inventory inquiries.
Assist IT with Cyber Security by highlighting and correlating forensic logs, to highlight intrusion attempts, and possible weaknesses in our cyber security posture. "
"ZjyddGA","7Rb8zz2","2025-11-10 15:10:03","55-64","Executive Leadership (C-Suite, VP)","ChatGPT, Microsoft Copilot","Weekly","Small pilot(s) in one area","10","Client data privacy and security","Customer service automation and communication enhancement, Supply chain optimization and predictive analytics, Contract proposals and RFP response development, Staff training: create materials & capture best practices","1.	Revenue leakage and margin visibility
AI can track and reconcile freight, warehouse, and transportation costs automatically across systems like Business Central, SCALE, and vendor feeds. It can spot unbilled revenue, duplicate charges, and margin erosion in near real time.
2.	Labor and asset utilization
AI can forecast labor needs and equipment usage by site and customer. That means reducing overtime, rental costs, and downtime while improving productivity.
3.	Customer forecasting and pricing discipline
Using shipment patterns, seasonality, and external data (fuel, lane congestion, etc.), AI can predict customer demand and recommend optimal pricing and inventory strategies helping protect margins and improve contract renewals.
"
"KYyo6gz","Zjo4l1a","2025-11-10 18:36:57","65 or older","Executive Leadership (C-Suite, VP)","ChatGPT, Microsoft Copilot","Weekly","No use yet","9","I’m not concerned, Cost or access to tools","Operational efficiency improvements (logistics / warehousing / transportation), Save time on admin / reporting & compliance documentation, Customer service automation and communication enhancement, Supply chain optimization and predictive analytics, Data dashboards & business intelligence insights, Contract proposals and RFP response development, Staff training: create materials & capture best practices, Understanding of AI ethics / Data security and best practices","1) Can help us be more competitive as a total organization
2) Definitely help in finance and admin
"
